code;label;label2;label3
AL;Alisier blanc;;
AT;Alisier torminal;;
AO;Arole;;
AU;Aulnes;Verne noire;Verne blanche
AF;Autres feuillus;;
AR;Autres résineux;;
BO;Bouleaux;bouleau sp;
CE;Cerisier;;
CA;Charme;charme commun;
CT;Châtaignier;;
CP;Chêne pédonculé;;
CU;Chêne pubescent;;
CR;Chêne rouge;;
CH;Chêne sessile;chêne sp;
CO;Cormier;;
DB;Divers buissons;;
DG;Douglas;;
EP;Epicéa;;
EF;Erable à feuilles rondes;érable feuille ronde;
EC;Erable champêtre;;
EN;Erable plane;;
ER;Erable sycomore;érable sp;érable syco
FR;Frêne;frêne commun;
HE;Hêtre;foyard;hêtre commun
HX;Houx;;
IF;If;if commun;
MA;Marronnier;;
ME;Mélèzes;mélèze d_europe;
NT;Noisetier;;
NO;Noyer;noyer commun;
OR;Ormes;orme sp;
PE;Peupliers;peuplier  sp;
PW;Pin Weymouth;;
PM;Pin de montagne;;
PN;Pin noir;;
PS;Pin sylvestre;;
PI;Poirier sauvage;;
PO;Pommier sauvage;;
RO;Robinier;;
SA;Sapin;;
SL;Saules;;
SO;Sorbier des oiseleurs;;
TG;Tilleul à grandes feuilles;;
TI;Tilleul à petites feuilles;;
TR;Tremble;;
